,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
0,BARD HIGH SCHOOL EARLY COLLEGE,High School, 3.77 ,B,57.8,0.715,0.607,0.524,0,Well-Developed,589,17.3,43.5
1,CHILDREN'S WORKSHOP SCHOOL,Elementary School, 39.10 ,B,56.81,0.508,0.462,0.615,1.5,Proficient,318,16.7,45.3
2,EARTH SCHOOL,Elementary School, 41.67 ,B,55.18,0.985,0.446,0.492,0,Well-Developed,349,12.0,52.4
3,EAST SIDE COMMUNITY HIGH SCHOOL,High School, 2.66 ,A,71.33,0.788,0.64,0.624,6,Well-Developed,678,13.8,65.3
4,MARTA VALLE SECONDARY SCHOOL,High School, 2.63 ,C,36.0,0.25,0.387,0.375,0,Undeveloped,149,12.4,93.3
5,MARTA VALLE SECONDARY SCHOOL,Middle School, 2.89 ,D,34.9,0.297,0.513,0.274,0,Undeveloped,303,13.7,43.9
6,NEIGHBORHOOD SCHOOL,Elementary School, 37.76 ,B,53.08,0.821,0.429,0.507,0,Proficient,1729,18.7,23.5
7,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",High School, 3.62 ,A,84.74,0.611,1.021,0.817,0,Undeveloped,201,11.1,82.6
8,PS 015 ROBERTO CLEMENTE,Elementary School, 75.60 ,B,52.31,0.278,0.231,0.694,3,Undeveloped,379,14.5,61.5
9,PS 019 ASHER LEVY,Elementary School, 59.25 ,B,51.24,0.51,0.466,0.511,1.5,Proficient,293,9.1,91.1
10,PS 020 ANNA SILVER,Elementary School, 69.78 ,B,52.59,0.568,0.682,0.402,1.5,Well-Developed,371,11.9,87.6
11,PS 034 FRANKLIN D ROOSEVELT,K-8 School, 71.90 ,C,47.02,0.409,0.366,0.53,0.75,Proficient,344,9.8,97.4
12,PS 063 WILLIAM MCKINLEY,Elementary School, 62.17 ,C,44.66,0.199,0.511,0.479,0,Proficient,191,9.5,84.8
13,PS 064 ROBERT SIMON,Elementary School, 71.90 ,C,48.43,0.561,0.586,0.408,0,Well-Developed,682,13.3,67.9
14,PS 110 FLORENCE NIGHTINGALE,Elementary School, 54.96 ,B,51.17,0.818,0.644,0.315,2.25,Proficient,431,11.6,91.6
15,PS 134 HENRIETTA SZOLD,Elementary School, 66.49 ,B,54.21,0.338,0.55,0.566,1.5,Well-Developed,258,7.1,76.7
16,PS 140 NATHAN STRAUS,K-8 School, 73.18 ,B,56.14,0.588,0.441,0.593,1.5,Proficient,494,13.7,72.7
17,PS 142 AMALIA CASTRO,Elementary School, 73.49 ,C,47.91,0.659,0.321,0.516,0,Proficient,326,9.8,97.9
18,PS 184M Shuang Wen,K-8 School, 34.83 ,B,63.05,0.823,0.932,0.413,0,Proficient,243,10.5,92.2
