,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
0,Lower East Side Preparatory High School,500,15.6,76.8%,1
1,East Side Community School,678,13.8,65.3%,1
2,Marta Valle High School,149,12.4,93.3%,1
3,Ps 15 Roberto Clemente,191,9.5,84.8%,1
4,Ps 19 Asher Levy,258,7.1,76.7%,1
5,Ps 20 Anna Silver,494,13.7,72.7%,1
6,Ps 34 Franklin D Roosevelt,326,9.8,97.9%,1
7,Star Academy Ps 63 (The),201,11.1,82.6%,1
8,Ps 110 Florence Nightingale,379,14.5,61.5%,1
9,Ps 134 Henrietta Szold,293,9.1,91.1%,1
10,Ps 140 Nathan Straus,371,11.9,87.6%,1
11,Ps 142 Amalia Castro,344,9.8,97.4%,1
12,Cascades High School,217,15.4,82.9%,1
13,Ps 184 Shuang Wen,682,13.3,67.9%,1
14,University Neighborhood High School,472,17.2,88.8%,1
15,Ps 64 Robert Simon,243,10.5,92.2%,1
16,Ps 188 Island School (The),431,11.6,91.6%,1
17,New Explorations Into Sciencetech And Math High School,1729,18.7,23.5%,1
18,Orchard Collegiate Academy,173,9.6,91.3%,1
19,East Village Community School (The),314,13.0,26.1%,1
20,University Neighborhood Middle School,201,9.1,88.1%,1
21,Children's Workshop School (The),318,16.7,45.3%,1
22,Neighborhood School,303,13.7,43.9%,1
23,Earth School,349,12.0,52.4%,1
24,Tompkins Square Middle School,376,12.9,69.1%,1
25,Bard High School Early College,589,17.3,43.5%,1
26,School For Global Leaders,259,9.1,80.7%,1
27,Forsythe Satellite Academy,189,12.9,86.2%,1
28,High School For Environmental Studies,"1,201",17.4,81.1%,2
29,Landmark High School,349,13.9,87.7%,2
30,Manhattan Village Academy,455,16.8,77.6%,2
31,Vanguard High School,451,14.0,80.7%,2
32,Manhattan International High School,335,15.7,84.8%,2
33,Unity Center For Urban Technologies,250,19.2,90.8%,2
34,Liberty High School Academy For Newcomers,391,14.4,79.8%,2
35,High School 560 City-As-School,540,17.4,64.4%,2
36,Satellite Academy High School,291,22.3,75.9%,2
37,High School For Health Professions & Human Services,"1,817",19.1,73.4%,2
38,Leadership & Public Service High School,521,14.8,81.8%,2
39,High School Of Economics & Finance,744,18.1,81%,2
40,Ps 290 Manhattan New School,628,14.9,11.6%,2
41,Talent Unlimited High School,480,14.5,55%,2
42,Jacqueline Kennedy-Onassis High School,564,15.2,79.8%,2
43,Repertory Company High School For Theatre Arts,242,15.1,69.4%,2
44,Institute For Collaborative Education,491,19.6,25.5%,2
45,Professional Performing Arts High School,562,19.3,37.2%,2
46,Art And Design High School,"1,445",16.4,63.2%,2
47,Chelsea Career And Technical Education High School,432,14.4,88.2%,2
48,High School Of Fashion Industries (The),"1,601",15.8,83.1%,2
49,Murry Bergtraum High School For Business Careers,264,10.9,77.3%,2
50,Ps 1 Alfred E Smith,318,9.6,78.9%,2
51,Ps 2 Meyer London,550,11.2,96.5%,2
52,Ps 3 Charrette School,753,15.0,21.4%,2
53,Ps 6 Lillie D Blake,688,17.1,11.3%,2
54,Ps 11 William T Harris,920,15.8,29.5%,2
55,Ps 33 Chelsea Prep,628,16.0,46.3%,2
56,Ps 40 Augustus Saint-Gaudens,679,16.5,9.6%,2
57,Ps 41 Greenwich Village,692,15.0,9%,2
58,Ps 42 Benjamin Altman,655,14.2,75.6%,2
59,Ps 51 Elias Howe,457,14.7,59.1%,2
60,Ps 59 Beekman Hill International,611,16.0,9.3%,2
61,Ps 111 Adolph S Ochs,390,11.4,61.3%,2
62,Ps 116 Mary Lindley Murray,545,13.6,34.9%,2
63,Ps 124 Yung Wing,725,15.1,55%,2
64,Ps 126 Jacob August Riis,783,13.7,79.7%,2
65,Ps 130 Hernando De Soto,912,16.2,47.9%,2
66,Ps 150,188,15.6,11.7%,2
67,Ps 158 Bayard Taylor,787,17.0,11.8%,2
68,Junior High School 167 Robert F Wagner,"1,335",15.8,30.8%,2
69,Ps 183 Robert L Stevenson,589,15.4,11.2%,2
70,Ps 198 Isador E Ida Straus,461,12.8,38%,2
71,Baruch College Campus High School,459,15.8,42%,2
72,Nyc Lab High School For Collaborative Studies,496,13.0,29.4%,2
73,School Of The Future High School,744,15.1,38.7%,2
74,Nyc Museum School,448,18.6,66.3%,2
75,Stuyvesant High School,"3,334",21.7,45.6%,2
76,Humanities Preparatory Academy,233,13.6,82%,2
77,Ps 89,432,14.4,19.7%,2
78,Is 289,283,15.7,50.5%,2
79,Ella Baker School,321,15.2,33.6%,2
80,Ps 77 Lower Lab School,357,22.3,5.6%,2
81,Urban Academy Laboratory High School,162,11.5,59.3%,2
82,Life Sciences Secondary School,573,13.6,81.8%,2
83,Ps 234 Independence School,642,14.5,9.8%,2
84,Middle School 131,431,11.9,93.3%,2
85,East Side Middle School,449,14.9,11.1%,2
86,Ps/Is 217 Roosevelt Island,621,14.7,34.3%,2
87,Ps 212 Midtown West,368,20.4,22.3%,2
88,Middle School 255 Salk School Of Science,387,15.8,10.6%,2
89,Clinton School (The),605,14.7,14%,2
90,Junior High School 104 Simon Baruch,"1,139",16.5,44.4%,2
91,American Sign Language & English Secondary School,170,10.3,88.8%,2
92,Richard R Green High School Of Teaching,502,14.7,84.3%,2
93,Manhattan Comprehensive Night And Day High School,587,15.4,92.8%,2
94,Eleanor Roosevelt High School,538,17.4,21.9%,2
95,Millennium High School,668,17.5,46.7%,2
96,Ballet Technical/Nyc Public School For Dance,139,15.4,56.1%,2
97,New Design High School,420,10.7,80.2%,2
98,Manhattan Bridges High School,513,17.6,82.8%,2
99,Harvey Milk High School,62,6.1,90.3%,2
100,High School For Dual Language And Asian Studies,396,16.4,88.1%,2
101,Nyc Lab Middle School For Collaborative Studies,554,17.3,38.6%,2
102,Urban Assembly New York Harbor School,532,14.7,53.8%,2
103,Independence High School,302,17.7,91.7%,2
104,Food And Finance High School,383,13.6,88.3%,2
105,Essex Street Academy,338,13.1,69.5%,2
106,High School Of Hospitality Management,387,14.8,92.5%,2
107,Pace High School,535,14.4,79.6%,2
108,Urban Assembly School Of Design And Construction,353,14.6,85.3%,2
109,Urban Assembly School Of Business For Young Women,238,14.8,82.8%,2
110,47 American Sign Language And English Lower School (The),195,4.7,61.5%,2
111,Lower Manhattan Community Middle School,383,12.3,58.5%,2
112,Facing History School (The),331,12.7,81.1%,2
113,Urban Assembly Academy Of Government And Law,311,14.1,85.2%,2
114,Lower Manhattan Arts Academy,329,13.1,75.1%,2
115,James Baldwin School-A School For Expeditionary Lrning,239,12.5,81.2%,2
116,Nyc Ischool,458,14.7,39.7%,2
117,Gramercy Arts High School,493,14.9,82.2%,2
118,High School For Language And Diplomacy (The),328,13.1,78.7%,2
119,Manhattan Business Academy,422,15.0,91%,2
120,Quest To Learn,579,12.3,67.4%,2
121,Business Of Sports School,432,11.8,73.4%,2
122,Spruce Street School,539,14.1,13.4%,2
123,Battery Park City School,822,13.4,12.7%,2
124,Yorkville Community School,513,12.5,41.9%,2
125,Emma Lazarus High School,276,14.5,95.3%,2
126,Manhattan Academy For Arts And Languages,266,12.2,95.5%,2
127,International High School At Union Square,349,12.4,82.2%,2
128,Hudson High School Of Learning Technologies,473,14.5,84.4%,2
129,Murray Hill Academy,317,12.6,83.6%,2
130,East Side Elementray School-Ps 267,397,13.6,10.3%,2
131,Urban Assembly Gateway School For Technology,444,13.4,57.7%,2
132,Ps 527 East Side School For Social Action,384,13.7,16.1%,2
133,Union Square Academy For Health Sciences,397,13.2,83.6%,2
134,Peck Slip School (The),438,12.5,9.1%,2
135,Harvest Collegiate High School,494,13.0,64.6%,2
136,Academy For Software Engineering,456,13.1,69.3%,2
137,River School (The),273,12.4,27.5%,2
138,Urban Assembly School For Emergency Management (The),279,12.1,81%,2
139,Stephen T Mather Building Arts And Craftmanship High School,401,11.1,84.5%,2
140,Yorkville East Middle School,233,11.6,34.3%,2
141,City Knoll Middle School,237,12.4,74.3%,2
142,Urban Assembly Maker Academy,389,13.8,75.1%,2
143,Manhattan Early College School For Advertising,368,12.2,80.2%,2
144,Sixth Avenue Elementary School,278,13.9,9%,2
145,Middle School 297,193,14.8,30.1%,2
